"composer_name","composer_cat_name","composer_page_id","composer_ns"
"Angeloni, Domenico","Category:Angeloni, Domenico","131811","14"
"Angerer, Edmund","Category:Angerer, Edmund","94630","14"
"Angiolini, Gasparo","Category:Angiolini, Gasparo","415776","14"
"Anglebert, Jean-Henri d'","Category:Anglebert, Jean-Henri d'","70512","14"
"Anglia, Robertus de","Category:Anglia, Robertus de","103745","14"
"Anglicanus","Category:Anglicanus","102543","14"
"Animuccia, Paolo","Category:Animuccia, Paolo","451541","14"
"Anschütz, Jacques-Albert","Category:Anschütz, Jacques-Albert","195723","14"
"Anson, Hugo","Category:Anson, Hugo","359742","14"
"Ansons, Stephane","Category:Ansons, Stephane","385754","14"
"Ansorge, Conrad","Category:Ansorge, Conrad","27774","14"
"Anstey, Thomas","Category:Anstey, Thomas","316396","14"
"Antalffy-Zsiross, Dezső","Category:Antalffy-Zsiross, Dezső","21039","14"
"Antegnati, Costanzo","Category:Antegnati, Costanzo","62025","14"
"Antelo, Xoán","Category:Antelo, Xoán","179771","14"
"Antes, John","Category:Antes, John","108798","14"
"Antheil, George","Category:Antheil, George","85547","14"
"Anthony, Bert R.","Category:Anthony, Bert R.","107921","14"
"Antico, Andrea","Category:Antico, Andrea","361192","14"
"Antinori, Domenico","Category:Antinori, Domenico","430167","14"
"Antipov, Konstantin","Category:Antipov, Konstantin","224714","14"
"De Antiquis, Giovanni","Category:De Antiquis, Giovanni","243881","14"
"Antoine, Georges","Category:Antoine, Georges","456975","14"
"Anton Sr., Philipp Gottlieb","Category:Anton Sr., Philipp Gottlieb","124629","14"
"Anton, Friedrich Max","Category:Anton, Friedrich Max","417473","14"
"Antonelli, Abundio","Category:Antonelli, Abundio","285532","14"
"Antonii, Giovanni Battista degli","Category:Antonii, Giovanni Battista degli","398348","14"
"Antonio, Lincoln","Category:Antonio, Lincoln","119439","14"
"Antonio, Neumane","Category:Antonio, Neumane","306661","14"
"Antoniotto, Giorgio","Category:Antoniotto, Giorgio","88353","14"
"Antsev, Mikhail","Category:Antsev, Mikhail","230342","14"
"Anzoletti, Francesco","Category:Anzoletti, Francesco","432980","14"
"Anzoletti, Marco","Category:Anzoletti, Marco","36588","14"
"Anzuetto, Daladier","Category:Anzuetto, Daladier","313299","14"
"Aponte, Gerardo","Category:Aponte, Gerardo","322857","14"
"Appenzeller, Benedictus","Category:Appenzeller, Benedictus","203914","14"
"Aprile, Giuseppe","Category:Aprile, Giuseppe","169414","14"
"Apthorp, William Foster","Category:Apthorp, William Foster","200170","14"
"Aptommas, Thomas","Category:Aptommas, Thomas","202756","14"
"Aquabella, Ramon","Category:Aquabella, Ramon","132175","14"
"Aquinus, David","Category:Aquinus, David","188498","14"
"Araja, Francesco","Category:Araja, Francesco","251721","14"
"Arakcheyev, Aleksey","Category:Arakcheyev, Aleksey","427021","14"
"Arakelian, Grigor","Category:Arakelian, Grigor","379719","14"
"Aranda, Mateus de","Category:Aranda, Mateus de","285573","14"
"Aranda, Omar","Category:Aranda, Omar","18084","14"
"Arantes, Rafael Sales","Category:Arantes, Rafael Sales","462832","14"
"Araujo, Pedro de","Category:Araujo, Pedro de","297110","14"
"Arban, Jean-Baptiste","Category:Arban, Jean-Baptiste","27280","14"
"Arbeau, Thoinot","Category:Arbeau, Thoinot","15047","14"
"Arbós, Enrique Fernández","Category:Arbós, Enrique Fernández","319863","14"
"Arcadelt, Jacob","Category:Arcadelt, Jacob","182283","14"
"Arcas, Julián","Category:Arcas, Julián","109529","14"
"Archainbaud, Eugène","Category:Archainbaud, Eugène","317434","14"
"Archer, Jerald Franklin","Category:Archer, Jerald Franklin","171519","14"
"Arditi, Luigi","Category:Arditi, Luigi","27975","14"
"Ardorino, Giovanni","Category:Ardorino, Giovanni","72178","14"
"Arena Rodríguez, Miguel Ramón","Category:Arena Rodríguez, Miguel Ramón","121095","14"
"Arends, Andrey","Category:Arends, Andrey","224721","14"
"Arensky, Anton","Category:Arensky, Anton","224833","14"
"D'Arezzo, Guido","Category:D'Arezzo, Guido","235660","14"
"Arifon, E.","Category:Arifon, E.","79948","14"
"Arimino, Ludvicus de","Category:Arimino, Ludvicus de","104048","14"
"Ariosti, Attilio","Category:Ariosti, Attilio","6410","14"
"Arkhangelsky, Aleksandr","Category:Arkhangelsky, Aleksandr","317134","14"
"Arkwright, Godfrey Edward Pellew","Category:Arkwright, Godfrey Edward Pellew","195694","14"
"Arlberg, Fritz","Category:Arlberg, Fritz","167764","14"
"Armbrust, Georg","Category:Armbrust, Georg","403527","14"
"Armes, Philip","Category:Armes, Philip","187645","14"
"Armsdorf, Andreas","Category:Armsdorf, Andreas","336791","14"
"Armstrong, Peter McKenzie","Category:Armstrong, Peter McKenzie","304945","14"
"Arnaud, Pierre","Category:Arnaud, Pierre","236551","14"
"Arndt, Felix","Category:Arndt, Felix","67181","14"
"Arne, Michael","Category:Arne, Michael","403300","14"
"Arne, Thomas Augustine","Category:Arne, Thomas Augustine","3384","14"
"Arneberg, Sigrid","Category:Arneberg, Sigrid","453667","14"
"Arnold, Carl","Category:Arnold, Carl","456943","14"
"Arnold, Charles Haydn","Category:Arnold, Charles Haydn","339080","14"
